timestamp,caller_msisdn,callee_msisdn,duration_sec,call_type,tower_id,tower_location
2026-01-07 10:30:00,+919845004455,+919830012345,45,VOICE,CELL-KOL-021,Burrabazar
2026-01-09 11:28:00,+919845004455,+919830012345,17,VOICE,CELL-KOL-021,Burrabazar
2026-01-10 02:04:00,+919123456780,+919830011122,45,VOICE,CELL-KOL-033,Rajabazar
2026-01-10 04:40:00,+919123456780,+919830011122,110,VOICE,CELL-KOL-033,Rajabazar
2026-01-10 04:57:00,+919123456780,+919830011122,17,VOICE,CELL-KOL-033,Rajabazar
2026-01-11 09:53:00,+919845004455,+919830012345,17,VOICE,CELL-KOL-021,Burrabazar
2026-01-11 10:30:00,+919845004455,+919830012345,240,VOICE,CELL-KOL-021,Burrabazar
2026-01-11 11:05:00,+919845004455,+919830012345,45,VOICE,CELL-KOL-021,Burrabazar
2026-01-12 02:44:00,+919123456780,+919830011122,240,VOICE,CELL-KOL-033,Rajabazar
2026-01-13 02:07:00,+919123456780,+919830011122,62,VOICE,CELL-KOL-033,Rajabazar
2026-01-13 04:25:00,+919123456780,+919830011122,110,VOICE,CELL-KOL-033,Rajabazar
2026-01-13 10:00:00,+919845001122,+919830012345,240,VOICE,CELL-HWH-002,Howrah
2026-01-13 10:55:00,+919845001122,+919830012345,45,VOICE,CELL-HWH-002,Howrah
2026-01-14 10:54:00,+919845001122,+919830012345,110,VOICE,CELL-HWH-002,Howrah
2026-01-14 21:35:00,+919845001122,+919830011122,37,VOICE,CELL-KOL-008,Bowbazar
2026-01-14 21:42:00,+919845001122,+919830011122,35,VOICE,CELL-KOL-008,Bowbazar
2026-01-14 21:49:00,+919845001122,+919830011122,32,VOICE,CELL-KOL-008,Bowbazar
2026-01-14 21:56:00,+919845001122,+919830011122,15,VOICE,CELL-KOL-008,Bowbazar
2026-01-14 22:03:00,+919845001122,+919830011122,28,VOICE,CELL-KOL-008,Bowbazar
2026-01-14 22:10:00,+919845001122,+919830011122,35,VOICE,CELL-KOL-008,Bowbazar
2026-01-15 09:30:00,+919845004455,+919830012345,17,VOICE,CELL-KOL-021,Burrabazar
2026-01-15 14:06:00,+919845001122,+919830012345,62,VOICE,CELL-HWH-002,Howrah
2026-01-15 19:10:00,+919845001122,+919845002233,45,VOICE,CELL-HWH-014,Salkia
2026-01-15 20:52:00,+919845001122,+919830011122,240,VOICE,CELL-HWH-014,Salkia
2026-01-15 21:40:00,+919845001122,+919830011122,17,VOICE,CELL-HWH-014,Salkia
2026-01-15 21:50:00,+919845001122,+919845002233,17,VOICE,CELL-HWH-014,Salkia
2026-01-15 22:37:00,+919845001122,+919830011122,28,VOICE,CELL-HWH-014,Salkia
2026-01-15 23:03:00,+919845001122,+919830011122,240,VOICE,CELL-HWH-014,Salkia
2026-01-16 20:36:00,+919845001122,+919830011122,62,VOICE,CELL-HWH-014,Salkia
2026-01-16 21:56:00,+919845001122,+919845002233,45,VOICE,CELL-HWH-014,Salkia
2026-01-17 21:25:00,+919845001122,+919830011122,17,VOICE,CELL-HWH-014,Salkia
2026-01-18 14:23:00,+919845001122,+919830012345,110,VOICE,CELL-HWH-002,Howrah
2026-01-18 20:05:00,+919845001122,+919845002233,17,VOICE,CELL-HWH-014,Salkia
2026-01-18 20:14:00,+919845001122,+919830011122,28,VOICE,CELL-HWH-014,Salkia
2026-01-18 21:25:00,+919845001122,+919845002233,17,VOICE,CELL-HWH-014,Salkia
2026-01-18 23:04:00,+919845001122,+919830011122,45,VOICE,CELL-HWH-014,Salkia
2026-01-19 11:40:00,+919845001122,+919830012345,62,VOICE,CELL-HWH-002,Howrah
2026-01-19 20:36:00,+919845001122,+919830011122,28,VOICE,CELL-HWH-014,Salkia
2026-01-19 20:36:00,+919845001122,+919830011122,240,VOICE,CELL-HWH-014,Salkia
2026-01-19 21:02:00,+919845001122,+919830011122,28,VOICE,CELL-HWH-014,Salkia
2026-01-19 21:06:00,+919845001122,+919830011122,240,VOICE,CELL-HWH-014,Salkia
2026-01-19 21:18:00,+919845001122,+919830011122,110,VOICE,CELL-HWH-014,Salkia
2026-01-19 21:23:00,+919845001122,+919830011122,28,VOICE,CELL-HWH-014,Salkia
2026-01-20 13:30:00,+919845001122,+919830012345,62,VOICE,CELL-HWH-002,Howrah
2026-01-21 18:37:00,+919007654321,+919845001122,110,VOICE,CELL-HWH-014,Salkia
2026-01-21 19:46:00,+919007654321,+919830011122,17,VOICE,CELL-HWH-014,Salkia
2026-01-22 19:09:00,+919007654321,+919845001122,240,VOICE,CELL-HWH-014,Salkia
2026-01-22 20:25:00,+919007654321,+919830011122,110,VOICE,CELL-HWH-014,Salkia
